Sensor/Actuator, Data Type, Name, Address, Current Value
Sensor,Bool,FACTORY_IO_Running,496,False
Sensor,Bool,FACTORY_IO_Paused,497,False
Sensor,Bool,FACTORY_IO_Reset,498,False
Sensor,Bool,Reset,2,False
Sensor,Bool,At_Exit,8,True
Sensor,Bool,At_Load,6,True
Sensor,Bool,At_Unload,7,True
Sensor,Bool,At_Entry,5,True
Sensor,Bool,At_Left,9,False
Sensor,Bool,Moving_Z,12,False
Sensor,Bool,At_Right,11,False
Sensor,Bool,At_Middle,10,True
Sensor,Bool,Moving_X,13,False
Sensor,Bool,Emergency_stop,3,True
Sensor,Bool,Manual,4,True
Sensor,Bool,Auto,14,False
Sensor,Bool,Start,0,False
Sensor,Bool,Stop,1,True
Sensor,Float,FACTORY_IO_Time_Scale,240,0
Actuator,Bool,FACTORY_IO_Run,496,False
Actuator,Bool,FACTORY_IO_Pause,497,False
Actuator,Bool,FACTORY_IO_Reset,498,False
Actuator,Bool,Lift,17,False
Actuator,Bool,Forks_Right,16,False
Actuator,Bool,Load_Conveyor,0,False
Actuator,Bool,Remover,8,False
Actuator,Bool,Unload_Conveyor,11,False
Actuator,Bool,Emitter,7,False
Actuator,Bool,Forks_Left,15,False
Actuator,Bool,Entry_Conveyor,3,False
Actuator,Bool,Exit_Conveyor,5,False
Actuator,Bool,Start_light,1,False
Actuator,Bool,Stop_light,2,False
Actuator,Bool,Reset_light,4,True
Actuator,Int,FACTORY_IO_Camera_Position,240,0
Actuator,Int,Target_Position,0,0
