Sensor/Actuator, Data Type, Name, Address, Current Value
Sensor,Bool,FACTORY_IO_Running,496,False
Sensor,Bool,FACTORY_IO_Paused,497,False
Sensor,Bool,FACTORY_IO_Reset,498,False
Sensor,Bool,At_Entry,5,True
Sensor,Bool,Load_Beam_Clear,6,True
Sensor,Bool,At_Unload,7,True
Sensor,Bool,At_Exit,8,True
Sensor,Bool,At_Right,11,False
Sensor,Bool,At_Middle,10,True
Sensor,Bool,At_Left,9,False
Sensor,Bool,Moving_Z,12,False
Sensor,Bool,Moving_X,13,False
Sensor,Bool,Start,0,False
Sensor,Bool,Stop,1,True
Sensor,Bool,Reset,2,False
Sensor,Bool,Emergency_stop,3,True
Sensor,Bool,Manual,4,True
Sensor,Bool,Auto,14,False
Sensor,Bool,Container_At_Fill,15,False
Sensor,Bool,Tank_Level_High_High,16,False
Sensor,Float,FACTORY_IO_Time_Scale,240,0
Sensor,Float,Tank_0_Flow_Meter,1,0
Sensor,Float,Tank_0_Level_Meter,0,0
Actuator,Bool,FACTORY_IO_Run,496,False
Actuator,Bool,FACTORY_IO_Pause,497,False
Actuator,Bool,FACTORY_IO_Reset,498,False
Actuator,Bool,Entry_Conveyor,3,False
Actuator,Bool,Exit_Conveyor,5,False
Actuator,Bool,Unload_Conveyor,11,False
Actuator,Bool,Remover_1,8,False
Actuator,Bool,Load_Conveyor,0,False
Actuator,Bool,Lift,17,False
Actuator,Bool,Forks_Right,16,False
Actuator,Bool,Forks_Left,15,False
Actuator,Bool,Start_light,1,False
Actuator,Bool,Stop_light,2,False
Actuator,Bool,Reset_light,4,True
Actuator,Bool,Roller_Conveyor_2m_0,6,False
Actuator,Bool,Roller_Conveyor_2m_1,9,False
Actuator,Bool,Roller_Conveyor_2m_2,10,False
Actuator,Bool,Roller_Conveyor_2m_3,12,False
Actuator,Bool,Emitter_0_Emit,13,False
Actuator,Bool,Stack_Light_0_Green,18,False
Actuator,Bool,Stack_Light_0_Yellow,14,True
Actuator,Bool,Stack_Light_0_Red,7,False
Actuator,Bool,Stack_Light_1_Red,19,False
Actuator,Bool,Stack_Light_1_Yellow,20,True
Actuator,Bool,Stack_Light_1_Green,21,False
Actuator,Bool,Stack_Light_2_Red,22,False
Actuator,Bool,Stack_Light_2_Yellow,23,True
Actuator,Bool,Stack_Light_2_Green,24,False
Actuator,Bool,Stack_Light_3_Red,25,False
Actuator,Bool,Stack_Light_3_Yellow,26,True
Actuator,Bool,Stack_Light_3_Green,27,False
Actuator,Float,Tank_0_Discharge_Valve,1,0
Actuator,Float,Tank_0_Fill_Valve,0,0
Actuator,Int,FACTORY_IO_Camera_Position,240,0
Actuator,Int,Target_Position,0,0
