Sensor/Actuator, Data Type, Name, Address, Current Value
Sensor,Bool,FACTORY_IO_Reset,498,False
Sensor,Bool,FACTORY_IO_Paused,497,False
Sensor,Bool,FACTORY_IO_Running,496,False
Sensor,Bool,Total_parts_at_removal,10,True
Sensor,Bool,Twin_Cell_Emergency_stop,11,True
Sensor,Bool,Twin_Cell_Manual,13,True
Sensor,Bool,Twin_Cell_Auto,12,False
Sensor,Bool,Twin_Cell_Start_button,14,False
Sensor,Bool,Twin_Cell_Stop_button,15,True
Sensor,Bool,Twin_Cell_Reset_button,16,False
Sensor,Bool,Bases_at_exit,7,True
Sensor,Bool,Lids_at_exit,6,True
Sensor,Bool,Bases_at_entry,5,True
Sensor,Bool,Bases_center_has_error,4,False
Sensor,Bool,Bases_center_busy,3,False
Sensor,Bool,Machining_Center_2_Opened,9,True
Sensor,Bool,Lids_at_entry,2,True
Sensor,Bool,Lids_center_busy,0,False
Sensor,Bool,Machining_Center_1_Opened,8,True
Sensor,Bool,Lids_center_has_error,1,False
Sensor,Float,FACTORY_IO_Time_Scale,240,0
Sensor,Int,Machining_Center_1_Progress,0,0
Sensor,Int,Machining_Center_2_Progress,1,0
Actuator,Bool,FACTORY_IO_Reset,498,False
Actuator,Bool,FACTORY_IO_Pause,497,False
Actuator,Bool,FACTORY_IO_Run,496,False
Actuator,Bool,Bases_raw_conveyor,17,False
Actuator,Bool,Bases_exit_conveyor_1,12,False
Actuator,Bool,Twin_Cell_Start_button_Light,18,False
Actuator,Bool,Twin_Cell_Stop_button_Light,19,True
Actuator,Bool,Twin_Cell_Reset_button_Light,20,False
Actuator,Bool,Lids_raw_conveyor,16,False
Actuator,Bool,Exit_conveyor,13,False
Actuator,Bool,Bases_exit_conveyor_2,15,False
Actuator,Bool,Lids_exit_conveyor_2,14,False
Actuator,Bool,Bases_center_start,8,False
Actuator,Bool,Bases_center_produce_lids,7,False
Actuator,Bool,Bases_emitter,11,False
Actuator,Bool,Bases_center_reset,10,False
Actuator,Bool,Bases_center_stop,9,True
Actuator,Bool,Lids_exit_conveyor_1,5,False
Actuator,Bool,Remover,6,False
Actuator,Bool,Lids_center_produce_lids,0,True
Actuator,Bool,Lids_emitter,4,False
Actuator,Bool,Lids_center_stop,2,True
Actuator,Bool,Lids_center_start,1,False
Actuator,Bool,Lids_center_reset,3,False
Actuator,Int,FACTORY_IO_Camera_Position,240,0
Actuator,Int,Lids_counter,0,0
Actuator,Int,Bases_counter,1,0
Actuator,Int,Total_parts_counter,2,0
Actuator,Int,Twin_Cell_Lids_counter,3,0
Actuator,Int,Twin_Cell_Bases_counter,4,0
