Sensor/Actuator, Data Type, Name, Address, Current Value
Sensor,Bool,FACTORY_IO_Running,496,False
Sensor,Bool,FACTORY_IO_Paused,497,False
Sensor,Bool,FACTORY_IO_Reset,498,False
Sensor,Bool,Minus,17,False
Sensor,Bool,Minus,16,False
Sensor,Bool,Item_detected,7,False
Sensor,Bool,Moving_X,6,False
Sensor,Bool,Moving_Z,1,False
Sensor,Bool,Lid_at_place,8,False
Sensor,Bool,Lid_clamped,13,False
Sensor,Bool,Pos_at_limit_lids,10,True
Sensor,Bool,Base_clamped,12,False
Sensor,Bool,Pos_at_limit_bases,11,True
Sensor,Bool,Part_leaving,15,False
Sensor,Bool,Base_at_place,0,False
Sensor,Bool,Start,2,False
Sensor,Bool,Reset,3,False
Sensor,Bool,Stop,4,True
Sensor,Bool,Emergency_stop,5,True
Sensor,Bool,Manual,9,True
Sensor,Bool,Auto,14,False
Sensor,Float,FACTORY_IO_Time_Scale,240,0
Actuator,Bool,FACTORY_IO_Run,496,False
Actuator,Bool,FACTORY_IO_Pause,497,False
Actuator,Bool,FACTORY_IO_Reset,498,False
Actuator,Bool,Minus,9,False
Actuator,Bool,Minus,10,False
Actuator,Bool,Minus,8,False
Actuator,Bool,Minus,7,False
Actuator,Bool,Grab,2,False
Actuator,Bool,Move_X,1,False
Actuator,Bool,Move_Z,0,False
Actuator,Bool,Lids_conveyor,11,False
Actuator,Bool,Lids_emitter,12,False
Actuator,Bool,Bases_conveyor,13,False
Actuator,Bool,Remover_1,14,False
Actuator,Bool,Bases_emitter,15,False
Actuator,Bool,Clamp_lid,19,False
Actuator,Bool,Pos_raise_lids,18,False
Actuator,Bool,Clamp_base,17,False
Actuator,Bool,Pos_raise_bases,16,False
Actuator,Bool,Start_light,3,False
Actuator,Bool,Reset_light,4,False
Actuator,Bool,Stop_light,5,True
Actuator,Bool,Remover_2,6,False
Actuator,Int,FACTORY_IO_Camera_Position,240,0
Actuator,Int,Counter,0,0
