Tag Name,Address,Data Type,Respect Data Type,Client Access,Scan Rate,Scaling,Raw Low,Raw High,Scaled Low,Scaled High,Scaled Data Type,Clamp Low,Clamp High,Eng Units,Description,Negate Value
"Application.FIO.diFactoryIOCameraPositionCmd","Application.FIO.diFactoryIOCameraPositionCmd",Long,1,R/W,100,,,,,,,,,,"",
"Application.FIO.diProductCounterDisplay","Application.FIO.diProductCounterDisplay",Long,1,R/W,100,,,,,,,,,,"",
"Application.FIO.rFactoryIOTimeScale","Application.FIO.rFactoryIOTimeScale",Float,1,R/W,100,,,,,,,,,,"",
"Application.FIO.xAutoModeSelected","Application.FIO.xAutoModeSelected",Boolean,1,R/W,100,,,,,,,,,,"",
"Application.FIO.xBaseAtPlace","Application.FIO.xBaseAtPlace",Boolean,1,R/W,100,,,,,,,,,,"",
"Application.FIO.xBaseClampCmd","Application.FIO.xBaseClampCmd",Boolean,1,R/W,100,,,,,,,,,,"",
"Application.FIO.xBaseClamped","Application.FIO.xBaseClamped",Boolean,1,R/W,100,,,,,,,,,,"",
"Application.FIO.xBasesConveyorCmd","Application.FIO.xBasesConveyorCmd",Boolean,1,R/W,100,,,,,,,,,,"",
"Application.FIO.xBasesEmitterCmd","Application.FIO.xBasesEmitterCmd",Boolean,1,R/W,100,,,,,,,,,,"",
"Application.FIO.xBasesPositionerAtLimit","Application.FIO.xBasesPositionerAtLimit",Boolean,1,R/W,100,,,,,,,,,,"",
"Application.FIO.xBasesPositionerRaiseCmd","Application.FIO.xBasesPositionerRaiseCmd",Boolean,1,R/W,100,,,,,,,,,,"",
"Application.FIO.xEmergencyStop","Application.FIO.xEmergencyStop",Boolean,1,R/W,100,,,,,,,,,,"",
"Application.FIO.xFactoryIOPauseCmd","Application.FIO.xFactoryIOPauseCmd",Boolean,1,R/W,100,,,,,,,,,,"",
"Application.FIO.xFactoryIOPaused","Application.FIO.xFactoryIOPaused",Boolean,1,R/W,100,,,,,,,,,,"",
"Application.FIO.xFactoryIOReset","Application.FIO.xFactoryIOReset",Boolean,1,R/W,100,,,,,,,,,,"",
"Application.FIO.xFactoryIOResetCmd","Application.FIO.xFactoryIOResetCmd",Boolean,1,R/W,100,,,,,,,,,,"",
"Application.FIO.xFactoryIORunCmd","Application.FIO.xFactoryIORunCmd",Boolean,1,R/W,100,,,,,,,,,,"",
"Application.FIO.xFactoryIORunning","Application.FIO.xFactoryIORunning",Boolean,1,R/W,100,,,,,,,,,,"",
"Application.FIO.xFinishedProductRemoverCmd","Application.FIO.xFinishedProductRemoverCmd",Boolean,1,R/W,100,,,,,,,,,,"",
"Application.FIO.xGrabCmd","Application.FIO.xGrabCmd",Boolean,1,R/W,100,,,,,,,,,,"",
"Application.FIO.xItemDetected","Application.FIO.xItemDetected",Boolean,1,R/W,100,,,,,,,,,,"",
"Application.FIO.xLidAtPlace","Application.FIO.xLidAtPlace",Boolean,1,R/W,100,,,,,,,,,,"",
"Application.FIO.xLidClampCmd","Application.FIO.xLidClampCmd",Boolean,1,R/W,100,,,,,,,,,,"",
"Application.FIO.xLidClamped","Application.FIO.xLidClamped",Boolean,1,R/W,100,,,,,,,,,,"",
"Application.FIO.xLidsConveyorCmd","Application.FIO.xLidsConveyorCmd",Boolean,1,R/W,100,,,,,,,,,,"",
"Application.FIO.xLidsEmitterCmd","Application.FIO.xLidsEmitterCmd",Boolean,1,R/W,100,,,,,,,,,,"",
"Application.FIO.xLidsPositionerRaiseCmd","Application.FIO.xLidsPositionerRaiseCmd",Boolean,1,R/W,100,,,,,,,,,,"",
"Application.FIO.xManualModeSelected","Application.FIO.xManualModeSelected",Boolean,1,R/W,100,,,,,,,,,,"",
"Application.FIO.xMoveXCmd","Application.FIO.xMoveXCmd",Boolean,1,R/W,100,,,,,,,,,,"",
"Application.FIO.xMoveZCmd","Application.FIO.xMoveZCmd",Boolean,1,R/W,100,,,,,,,,,,"",
"Application.FIO.xMovingX","Application.FIO.xMovingX",Boolean,1,R/W,100,,,,,,,,,,"",
"Application.FIO.xMovingZ","Application.FIO.xMovingZ",Boolean,1,R/W,100,,,,,,,,,,"",
"Application.FIO.xPartLeaving","Application.FIO.xPartLeaving",Boolean,1,R/W,100,,,,,,,,,,"",
"Application.FIO.xResetLightCmd","Application.FIO.xResetLightCmd",Boolean,1,R/W,100,,,,,,,,,,"",
"Application.FIO.xResetPB","Application.FIO.xResetPB",Boolean,1,R/W,100,,,,,,,,,,"",
"Application.FIO.xStartLightCmd","Application.FIO.xStartLightCmd",Boolean,1,R/W,100,,,,,,,,,,"",
"Application.FIO.xStartPB","Application.FIO.xStartPB",Boolean,1,R/W,100,,,,,,,,,,"",
"Application.FIO.xStopLightCmd","Application.FIO.xStopLightCmd",Boolean,1,R/W,100,,,,,,,,,,"",
"Application.FIO.xStopPB","Application.FIO.xStopPB",Boolean,1,R/W,100,,,,,,,,,,"",
"Application.FIO.xUnusedLidRemoverCmd","Application.FIO.xUnusedLidRemoverCmd",Boolean,1,R/W,100,,,,,,,,,,"",
