Sensor/Actuator, Data Type, Name, Address, Current Value
Sensor,Bool,FACTORY_IO_Reset,498,False
Sensor,Bool,FACTORY_IO_Paused,497,False
Sensor,Bool,FACTORY_IO_Running,496,False
Sensor,Bool,Fill,0,False
Sensor,Bool,Discharge,1,True
Sensor,Bool,Fill2,2,False
Sensor,Bool,Discharge2,3,True
Sensor,Float,FACTORY_IO_Time_Scale,240,0
Actuator,Bool,FACTORY_IO_Reset,498,False
Actuator,Bool,FACTORY_IO_Pause,497,False
Actuator,Bool,FACTORY_IO_Run,496,False
Actuator,Bool,Discharge_valve,4,False
Actuator,Bool,Fill_valve,3,False
Actuator,Bool,Filling,0,False
Actuator,Bool,Discharging,2,False
Actuator,Bool,Fill_Valve2,1,False
Actuator,Bool,Discharge_Valve2,5,False
Actuator,Bool,Start_Button_0_Light,6,False
Actuator,Bool,Stop_Button_0_Light,7,False
Actuator,Int,FACTORY_IO_Camera_Position,240,0
Actuator,Int,Timer,0,0
Actuator,Int,Timer2,1,0
